check_id,workflow_id,check_type,check_description,pass_rate,affected_rows,severity,owner
DQ-087,AWM-029,Completeness,required field null rate,0.8973,151,Medium,Controls
DQ-088,AWM-030,Completeness,required field null rate,0.8958,0,Medium,Technology
DQ-089,AWM-030,Reconciliation,source to report total variance,0.9221,58,Medium,Data Analytics
DQ-090,AWM-030,Definition,metric owner and glossary link,0.9086,184,Medium,Technology
DQ-091,AWM-031,Uniqueness,duplicate business key rate,0.9692,0,Low,Reporting Enablement
DQ-092,AWM-031,Completeness,required field null rate,0.9167,46,Medium,Client Ops
DQ-093,AWM-031,Reconciliation,source to report total variance,0.9785,117,Low,Technology
DQ-094,AWM-032,Reconciliation,source to report total variance,0.9212,144,Medium,Client Ops
DQ-095,AWM-032,Timeliness,latest extract freshness,0.9002,168,Medium,Reporting Enablement
DQ-096,AWM-032,Uniqueness,duplicate business key rate,0.8741,127,High,Reporting Enablement
DQ-097,AWM-033,Completeness,required field null rate,0.9491,54,Medium,Controls
DQ-098,AWM-033,Timeliness,latest extract freshness,0.9027,265,High,Client Ops
DQ-099,AWM-033,Reconciliation,source to report total variance,0.9301,51,Medium,Client Ops
DQ-100,AWM-034,Reconciliation,source to report total variance,0.909,112,Medium,Technology
DQ-101,AWM-034,Uniqueness,duplicate business key rate,0.9502,272,High,Data Analytics
DQ-102,AWM-034,Timeliness,latest extract freshness,0.9429,179,Medium,Technology
DQ-103,AWM-035,Completeness,required field null rate,0.8957,75,Medium,Technology
DQ-104,AWM-035,Reconciliation,source to report total variance,0.9288,118,Medium,Technology
DQ-105,AWM-035,Uniqueness,duplicate business key rate,0.9907,0,Low,Reporting Enablement
DQ-106,AWM-036,Timeliness,latest extract freshness,0.9159,42,Medium,Data Analytics
DQ-107,AWM-036,Reconciliation,source to report total variance,0.9328,79,Medium,Technology
DQ-108,AWM-036,Completeness,required field null rate,0.9356,111,Medium,Reporting Enablement
DQ-109,AWM-037,Timeliness,latest extract freshness,0.9127,0,Medium,Client Ops
DQ-110,AWM-037,Uniqueness,duplicate business key rate,0.8874,98,High,Data Analytics
DQ-111,AWM-037,Reconciliation,source to report total variance,0.9011,0,Medium,Data Analytics
DQ-112,AWM-038,Completeness,required field null rate,0.9284,0,Medium,Data Analytics
DQ-113,AWM-038,Timeliness,latest extract freshness,0.9603,0,Low,Reporting Enablement
DQ-114,AWM-038,Reconciliation,source to report total variance,0.9204,0,Medium,Client Ops
DQ-115,AWM-039,Definition,metric owner and glossary link,0.9077,181,Medium,Reporting Enablement
DQ-116,AWM-039,Timeliness,latest extract freshness,0.9644,120,Low,Technology
DQ-117,AWM-039,Reconciliation,source to report total variance,0.9316,105,Medium,Controls
DQ-118,AWM-040,Definition,metric owner and glossary link,0.9199,169,Medium,Technology
DQ-119,AWM-040,Timeliness,latest extract freshness,0.9423,168,Medium,Technology
DQ-120,AWM-040,Uniqueness,duplicate business key rate,0.8971,55,Medium,Reporting Enablement
DQ-121,AWM-041,Uniqueness,duplicate business key rate,0.8407,289,High,Reporting Enablement
DQ-122,AWM-041,Timeliness,latest extract freshness,0.9314,11,Medium,Technology
DQ-123,AWM-041,Completeness,required field null rate,0.9422,76,Medium,Data Analytics
DQ-124,AWM-042,Timeliness,latest extract freshness,0.999,0,Low,Controls
DQ-125,AWM-042,Completeness,required field null rate,0.8914,116,Medium,Data Analytics
DQ-126,AWM-042,Definition,metric owner and glossary link,0.9695,76,Low,Reporting Enablement
