incident_id,jira_key,opened_date,severity,status,root_cause,asset_id,workflow_id,impacted_users,hours_open,owner
INC-055,BI-3155,2026-04-09,P2,Resolved,Data defect,RPT-021,AWM-009,237,22,Client Ops
INC-056,BI-3156,2026-03-06,P2,Resolved,Refresh failure,RPT-004,AWM-004,146,16,Client Ops
INC-057,BI-3157,2026-03-15,P2,In review,Refresh failure,RPT-014,AWM-020,215,46,Client Ops
INC-058,BI-3158,2026-03-16,P2,In review,Refresh failure,RPT-008,AWM-014,53,62,Client Ops
INC-059,BI-3159,2026-04-12,P2,Open,Late upstream load,RPT-011,AWM-005,120,13,Controls
INC-060,BI-3160,2026-03-15,P2,Resolved,Refresh failure,RPT-001,AWM-011,400,29,Reporting Enablement
INC-061,BI-3161,2026-03-20,P1,In review,Metric definition gap,RPT-015,AWM-026,832,44,Technology
INC-062,BI-3162,2026-03-07,P3,In review,Data defect,RPT-004,AWM-004,307,86,Controls
INC-063,BI-3163,2026-04-16,P1,Resolved,Late upstream load,RPT-001,AWM-011,578,3,Controls
INC-064,BI-3164,2026-03-18,P2,Resolved,Refresh failure,RPT-015,AWM-026,308,21,Data Analytics
INC-065,BI-3165,2026-05-02,P3,Resolved,Data defect,RPT-012,AWM-010,216,5,Data Analytics
INC-066,BI-3166,2026-03-31,P3,In review,Source access,RPT-021,AWM-009,17,54,Client Ops
INC-067,BI-3167,2026-04-16,P3,Open,Refresh failure,RPT-001,AWM-011,358,36,Technology
INC-068,BI-3168,2026-03-05,P2,In review,Refresh failure,RPT-003,AWM-021,262,56,Controls
INC-069,BI-3169,2026-03-18,P2,Resolved,Data defect,RPT-017,AWM-025,285,3,Controls
INC-070,BI-3170,2026-03-16,P3,In review,Metric definition gap,RPT-020,AWM-020,378,31,Technology
INC-071,BI-3171,2026-04-05,P2,Resolved,Late upstream load,RPT-002,AWM-041,381,22,Client Ops
INC-072,BI-3172,2026-04-30,P2,Resolved,Data defect,RPT-009,AWM-025,59,22,Controls
INC-073,BI-3173,2026-04-20,P3,In review,Data defect,RPT-017,AWM-025,45,25,Data Analytics
INC-074,BI-3174,2026-04-04,P3,Resolved,Refresh failure,RPT-008,AWM-014,239,34,Technology
INC-075,BI-3175,2026-03-28,P3,In review,Source access,RPT-022,AWM-002,227,66,Reporting Enablement
INC-076,BI-3176,2026-03-07,P3,Resolved,Refresh failure,RPT-005,AWM-019,257,48,Controls
INC-077,BI-3177,2026-04-05,P2,Resolved,Source access,RPT-001,AWM-011,156,32,Data Analytics
INC-078,BI-3178,2026-03-25,P2,Open,Metric definition gap,RPT-008,AWM-014,93,71,Controls
INC-079,BI-3179,2026-04-30,P2,Resolved,Metric definition gap,RPT-001,AWM-011,407,22,Data Analytics
INC-080,BI-3180,2026-03-27,P3,Resolved,Metric definition gap,RPT-006,AWM-026,253,35,Technology
INC-081,BI-3181,2026-03-21,P1,In review,Metric definition gap,RPT-004,AWM-004,60,74,Data Analytics
INC-082,BI-3182,2026-04-26,P3,Resolved,Metric definition gap,RPT-022,AWM-002,380,42,Reporting Enablement
INC-083,BI-3183,2026-03-04,P2,Resolved,Source access,RPT-019,AWM-022,397,34,Client Ops
INC-084,BI-3184,2026-04-18,P1,In review,Late upstream load,RPT-018,AWM-040,240,96,Technology
INC-085,BI-3185,2026-04-10,P3,Resolved,Source access,RPT-022,AWM-002,400,24,Controls
INC-086,BI-3186,2026-03-05,P3,Resolved,Refresh failure,RPT-014,AWM-020,137,46,Controls
INC-087,BI-3187,2026-03-19,P3,Resolved,Metric definition gap,RPT-002,AWM-041,392,27,Data Analytics
INC-088,BI-3188,2026-04-10,P3,Resolved,Refresh failure,RPT-017,AWM-025,331,20,Technology
INC-089,BI-3189,2026-03-04,P3,Resolved,Source access,RPT-017,AWM-025,119,24,Technology
INC-090,BI-3190,2026-05-01,P2,Resolved,Source access,RPT-009,AWM-025,206,45,Reporting Enablement
